source,role,vibe,title,company,salary_min_usd,salary_max_usd,location,url
remotive,Engineering,0,Tech Lead Full-Stack Rails Engineer,Mitre Media,,,"USA, Canada, USA timezones",https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746
remotive,AI / Vibe Dev,0,Remote Office Assistant,Coalition Technologies ,,,Worldwide,https://remotive.com/remote-jobs/marketing/remote-office-assistant-1680495
remotive,Unknown,0,AI Response Evaluator,iMerit Technology,,,"France, Japan, Turkey, Vietnam, Mexico, Norway",https://remotive.com/remote-jobs/artificial-intelligence/ai-response-evaluator-2091126
remotive,Sales / SDR,0,Inside Sales Contractor,"Credit Wellness, LLC",,,Worldwide,https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540
remotive,Support,0,Tier III Service Desk Engineer,Unio Digital,,,Worldwide,https://remotive.com/remote-jobs/information-technology/tier-iii-service-desk-engineer-2091045
remotive,Unknown,0,Freelance Writer,IAPWE,,,Worldwide,https://remotive.com/remote-jobs/writing/freelance-writer-1185979
remotive,Unknown,0,Freelance Copywriter,Coalition Technologies ,,,Worldwide,https://remotive.com/remote-jobs/writing/freelance-copywriter-1749306
remotive,Engineering,0,Senior React Full-stack Developer,Lemon.io,,,"LATAM, Europe, USA, Canada, APAC",https://remotive.com/remote-jobs/software-development/senior-react-full-stack-developer-2091101
remotive,QA / Testing,0,Senior QA Engineer,Lemon.io,,,Europe,https://remotive.com/remote-jobs/qa/senior-qa-engineer-2091100
remotive,Sysadmin / DevOps,0,Senior DevOps Engineer,Lemon.io,,,"LATAM, Europe, USA, Canada, APAC",https://remotive.com/remote-jobs/devops/senior-devops-engineer-2091099
jobicy,Data,0,Engineering Manager - MLOps & Analytics,Canonical,,,Anywhere,https://jobicy.com/jobs/149521-engineering-manager-mlops-analytics
jobicy,Design (UI/UX),0,Junior Linux Kernel Engineer - Ubuntu,Canonical,,,Anywhere,https://jobicy.com/jobs/149520-junior-linux-kernel-engineer-ubuntu
jobicy,Support,0,Support Engineering Manager,Canonical,,,Anywhere,https://jobicy.com/jobs/149554-support-engineering-manager
jobicy,Cybersecurity,0,Security Software Engineer,Canonical,,,Anywhere,https://jobicy.com/jobs/149550-security-software-engineer
jobicy,Sales / SDR,0,Area Sales Manager ( Emilia-Romagna region),Ajax Systems,,,Italy,https://jobicy.com/jobs/152576-area-sales-manager-emilia-romagna-region
jobicy,Sales / SDR,0,"Sales Engineer, EMEA",Socket,,,UK,https://jobicy.com/jobs/151047-sales-engineer-emea
jobicy,Unknown,0,Clinical Transcript Reviewer,Limbic,3,3,USA,https://jobicy.com/jobs/151488-clinical-transcript-reviewer
jobicy,Product / PM,0,Product Manager,Limbic,,,USA,https://jobicy.com/jobs/151483-product-manager-3
jobicy,Unknown,0,SEI Instructor Lead,Remote,23000,27000,"Australia,  Canada,  Singapore,  UK,  USA",https://jobicy.com/jobs/151482-sei-instructor-lead
jobicy,Marketing,0,Product Marketing Manager,Dataiku,100000,150000,USA,https://jobicy.com/jobs/151480-product-marketing-manager-2
jobicy,Unknown,0,Senior Applied Scientist,Samsara,170170,286000,USA,https://jobicy.com/jobs/149596-senior-applied-scientist
jobicy,Engineering,0,Full Stack Engineer (Vue + Nest),Oowlish Technology,,,"Argentina,  Brazil,  Mexico",https://jobicy.com/jobs/151493-full-stack-engineer-vue-nest
jobicy,Unknown,0,Enterprise Account Executive,DataGrail,260000,290000,USA,https://jobicy.com/jobs/151522-enterprise-account-executive-11
